jobid mutator crossover repair generator D mu eps repl
251 bf on off uncorr 5 100 0.2 1
252 bf on off uncorr 5 100 0.2 2
253 bf on off uncorr 5 100 0.2 3
254 bf on off uncorr 5 100 0.2 4
255 bf on off uncorr 5 100 0.2 5
256 bf on off uncorr 5 100 0.2 6
257 bf on off uncorr 5 100 0.2 7
258 bf on off uncorr 5 100 0.2 8
259 bf on off uncorr 5 100 0.2 9
260 bf on off uncorr 5 100 0.2 10
261 bf on off uncorr 5 100 0.5 1
262 bf on off uncorr 5 100 0.5 2
263 bf on off uncorr 5 100 0.5 3
264 bf on off uncorr 5 100 0.5 4
265 bf on off uncorr 5 100 0.5 5
266 bf on off uncorr 5 100 0.5 6
267 bf on off uncorr 5 100 0.5 7
268 bf on off uncorr 5 100 0.5 8
269 bf on off uncorr 5 100 0.5 9
270 bf on off uncorr 5 100 0.5 10
271 bf on off uncorr 5 100 0.9 1
272 bf on off uncorr 5 100 0.9 2
273 bf on off uncorr 5 100 0.9 3
274 bf on off uncorr 5 100 0.9 4
275 bf on off uncorr 5 100 0.9 5
276 bf on off uncorr 5 100 0.9 6
277 bf on off uncorr 5 100 0.9 7
278 bf on off uncorr 5 100 0.9 8
279 bf on off uncorr 5 100 0.9 9
280 bf on off uncorr 5 100 0.9 10
281 bf on off uncorr 5 200 0.1 1
282 bf on off uncorr 5 200 0.1 2
283 bf on off uncorr 5 200 0.1 3
284 bf on off uncorr 5 200 0.1 4
285 bf on off uncorr 5 200 0.1 5
286 bf on off uncorr 5 200 0.1 6
287 bf on off uncorr 5 200 0.1 7
288 bf on off uncorr 5 200 0.1 8
289 bf on off uncorr 5 200 0.1 9
290 bf on off uncorr 5 200 0.1 10
291 bf on off uncorr 5 200 0.2 1
292 bf on off uncorr 5 200 0.2 2
293 bf on off uncorr 5 200 0.2 3
294 bf on off uncorr 5 200 0.2 4
295 bf on off uncorr 5 200 0.2 5
296 bf on off uncorr 5 200 0.2 6
297 bf on off uncorr 5 200 0.2 7
298 bf on off uncorr 5 200 0.2 8
299 bf on off uncorr 5 200 0.2 9
300 bf on off uncorr 5 200 0.2 10
301 bf on off uncorr 5 200 0.5 1
302 bf on off uncorr 5 200 0.5 2
303 bf on off uncorr 5 200 0.5 3
304 bf on off uncorr 5 200 0.5 4
305 bf on off uncorr 5 200 0.5 5
306 bf on off uncorr 5 200 0.5 6
307 bf on off uncorr 5 200 0.5 7
308 bf on off uncorr 5 200 0.5 8
309 bf on off uncorr 5 200 0.5 9
310 bf on off uncorr 5 200 0.5 10
311 bf on off uncorr 5 200 0.9 1
312 bf on off uncorr 5 200 0.9 2
313 bf on off uncorr 5 200 0.9 3
314 bf on off uncorr 5 200 0.9 4
315 bf on off uncorr 5 200 0.9 5
316 bf on off uncorr 5 200 0.9 6
317 bf on off uncorr 5 200 0.9 7
318 bf on off uncorr 5 200 0.9 8
319 bf on off uncorr 5 200 0.9 9
320 bf on off uncorr 5 200 0.9 10
321 bf on off uncorr 10 25 0.1 1
322 bf on off uncorr 10 25 0.1 2
323 bf on off uncorr 10 25 0.1 3
