"jobid" "mutator" "crossover" "repair" "generator" "D" "mu" "eps" "repl" "iters" "time_passed" "entropy" "iters_without_improvement" "repair_operations" "repair_success"
119 "bf" "on" "off" "uncorr" 2 100 0.9 9 10000 55 36.7722800575284 7894 2918 81
120 "bf" "on" "off" "uncorr" 2 100 0.9 10 10000 63 36.7700405518027 7832 3206 96
121 "bf" "on" "off" "uncorr" 2 200 0.1 1 20000 61 36.3436717005773 18571 31781 1817
122 "bf" "on" "off" "uncorr" 2 200 0.1 2 20000 64 36.3455289674939 18508 31985 1859
123 "bf" "on" "off" "uncorr" 2 200 0.1 3 20000 60 36.3446461858715 18525 31747 2073
124 "bf" "on" "off" "uncorr" 2 200 0.1 4 20000 51 36.3449019127332 18468 31921 1988
125 "bf" "on" "off" "uncorr" 2 200 0.1 5 20000 67 36.3409125114615 18513 31870 1862
126 "bf" "on" "off" "uncorr" 2 200 0.1 6 20000 57 36.3419311126607 18374 31664 1859
127 "bf" "on" "off" "uncorr" 2 200 0.1 7 20000 65 36.3460092158563 18368 31662 2028
128 "bf" "on" "off" "uncorr" 2 200 0.1 8 20000 69 36.3430029168997 18542 31737 1904
129 "bf" "on" "off" "uncorr" 2 200 0.1 9 20000 53 36.3439359312103 18446 31728 1960
130 "bf" "on" "off" "uncorr" 2 200 0.1 10 20000 56 36.3443572606137 18641 31956 1938
131 "bf" "on" "off" "uncorr" 2 200 0.2 1 20000 100 36.7449951352649 18682 29955 3863
132 "bf" "on" "off" "uncorr" 2 200 0.2 2 20000 95 36.7436210055958 18738 29961 3836
133 "bf" "on" "off" "uncorr" 2 200 0.2 3 20000 109 36.7443429642539 18654 29954 4251
134 "bf" "on" "off" "uncorr" 2 200 0.2 4 20000 103 36.7438108281903 18581 29949 3919
135 "bf" "on" "off" "uncorr" 2 200 0.2 5 20000 87 36.7436843672489 18797 30925 2951
136 "bf" "on" "off" "uncorr" 2 200 0.2 6 20000 110 36.7422931044751 18553 29729 3926
137 "bf" "on" "off" "uncorr" 2 200 0.2 7 20000 115 36.7437413836259 18621 30000 3675
138 "bf" "on" "off" "uncorr" 2 200 0.2 8 20000 101 36.7432323992373 18740 30153 3605
139 "bf" "on" "off" "uncorr" 2 200 0.2 9 20000 91 36.7451208909752 18735 30652 3232
140 "bf" "on" "off" "uncorr" 2 200 0.2 10 20000 109 36.7443559451324 18709 29710 4167
141 "bf" "on" "off" "uncorr" 2 200 0.5 1 20000 213 36.7873341137231 18002 15250 1392
142 "bf" "on" "off" "uncorr" 2 200 0.5 2 20000 232 36.7873341137231 17996 15342 1443
143 "bf" "on" "off" "uncorr" 2 200 0.5 3 20000 212 36.7873289153567 18144 15336 1388
144 "bf" "on" "off" "uncorr" 2 200 0.5 4 20000 230 36.7873341137231 18101 15301 1413
145 "bf" "on" "off" "uncorr" 2 200 0.5 5 20000 235 36.7873289153567 18205 15386 1431
146 "bf" "on" "off" "uncorr" 2 200 0.5 6 20000 210 36.7873341137231 18189 15237 1423
147 "bf" "on" "off" "uncorr" 2 200 0.5 7 20000 218 36.7873341137231 18186 15447 1493
148 "bf" "on" "off" "uncorr" 2 200 0.5 8 20000 197 36.7873341137231 18158 15370 1438
149 "bf" "on" "off" "uncorr" 2 200 0.5 9 20000 210 36.7873341137231 18256 15372 1447
150 "bf" "on" "off" "uncorr" 2 200 0.5 10 20000 231 36.7873341137231 18177 15184 1409
151 "bf" "on" "off" "uncorr" 2 200 0.9 1 20000 246 36.7872821300595 16048 5568 164
152 "bf" "on" "off" "uncorr" 2 200 0.9 2 20000 226 36.7872925267922 16219 5047 139
153 "bf" "on" "off" "uncorr" 2 200 0.9 3 20000 214 36.7873029235249 16296 6222 215
